asin,title,price,image,url,category,isBestSeller
B08FXRTYPH,"$30/mo. Mint Mobile Phone Plan with Unlimited Talk, Text & Data for 3 Months (3-in-1 SIM Card)",,https://m.media-amazon.com/images/I/61GjGBJErFL._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDg4MTUzNzcyOTYxMTQ2OjE3Njg5MDA1Mjg6c3BfYXRmOjIwMDAzOTczNDM1NDQyMTo6MDo6&url=%2FMint-Mobile-Wireless-Unlimited-3-Months%2Fdp%2FB08FXRTYPH%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8%26dib_tag%3Dse%26keywords%3Dbest%2Bselling%2Bsmartphones%26qid%3D1768900528%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Electronics & Gadgets,true
B09TG61BFL,Motorola Edge + |2022| 4800mAh Battery | Unlocked | Made for US 8/512GB | 50MP Camera | Stardust White,,https://m.media-amazon.com/images/I/61dNlZy1CGL._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDg4MTUzNzcyOTYxMTQ2OjE3Njg5MDA1Mjg6c3BfYXRmOjMwMDEwMjEzNjYyNTcwMjo6MDo6&url=%2FMotorola-4800mAh-Battery-Unlocked-Stardust%2Fdp%2FB09TG61BFL%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8%26dib_tag%3Dse%26keywords%3Dbest%2Bselling%2Bsmartphones%26qid%3D1768900528%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Electronics & Gadgets,true
B0CP6DDN1H,Motorola Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,9088.99,https://m.media-amazon.com/images/I/61xk4XNRktL._AC_UY218_.jpg,https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_3?dib=eyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8&dib_tag=se&keywords=best+selling+smartphones&qid=1768900528&sr=8-3,Electronics & Gadgets,false
B0DNRK51QQ,Motorola Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,15906.42,https://m.media-amazon.com/images/I/8160OiLlJEL._AC_UY218_.jpg,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Forest/dp/B0DNRK51QQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8&dib_tag=se&keywords=best+selling+smartphones&qid=1768900528&sr=8-4,Electronics & Gadgets,false
B0CRWT7WF1,Samsung Galaxy A05 A065M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UY218_.jpg,https://www.amazon.com/Samsung-Dual-SIM-Unlocked-Android-Smartphone/dp/B0CRWT7WF1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8&dib_tag=se&keywords=best+selling+smartphones&qid=1768900528&sr=8-5,Electronics & Gadgets,false
B0FTG3Z4YT,"Tracfone Motorola Moto g Play 2024 [Activation Promotion] Locked to Tracfone, 64GB, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan, 6.5"" 90Hz Display, 50MP Camera, Storage 4GB RAM",4544.04,https://m.media-amazon.com/images/I/71B2U9e0siL._AC_UY218_.jpg,https://www.amazon.com/Tracfone-Motorola-Activation-Promotion-1500Min/dp/B0FTG3Z4YT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8&dib_tag=se&keywords=best+selling+smartphones&qid=1768900528&sr=8-6,Electronics & Gadgets,false
B0FHDTD8N7,"MMY I16PROMAX Unlocked Cell Phone,6.99"" HD Screen Unlocked Phones,16+512GB Android 14 7000mAh Long Battery Life Smartphone,5G/Dual SIM/Fingerprint Button Unlock/Photos/Face ID (White, 16+512G)",,https://m.media-amazon.com/images/I/71C0O9tXZEL._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDg4MTUzNzcyOTYxMTQ2OjE3Njg5MDA1Mjg6c3BfbXRmOjMwMDQ1OTQ0ODI1MDIwMjo6MDo6&url=%2FMMY-I16PROMAX-Unlocked-Smartphone-Fingerprint%2Fdp%2FB0FHDTD8N7%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8%26dib_tag%3Dse%26keywords%3Dbest%2Bselling%2Bsmartphones%26qid%3D1768900528%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Electronics & Gadgets,false
B0DNRGQRB4,"Samsung Galaxy A16 4G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Splash Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A165M/DS (25W Fast Charger Bundle, Grey)",,https://m.media-amazon.com/images/I/51qEkCjW6wL._AC_UY218_.jpg,https://www.amazon.com/SAMSUNG-Resistant-Unlocked-International-DS/dp/B0DNRGQRB4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8&dib_tag=se&keywords=best+selling+smartphones&qid=1768900528&sr=8-8,Electronics & Gadgets,false
B0DVJ11FP4,"Google Pixel 9a with Gemini - Unlocked Android Smartphone with Incredible Camera and AI Photo Editing, All-Day Battery, and Powerful Security - Peony - 128 GB",,https://m.media-amazon.com/images/I/61IgWXs5BRL._AC_UY218_.jpg,https://www.amazon.com/Google-Pixel-Gemini-Smartphone-Incredible/dp/B0DVJ11FP4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8&dib_tag=se&keywords=best+selling+smartphones&qid=1768900528&sr=8-9,Electronics & Gadgets,false
B0G1B3BHNH,"Tracfone Samsung Galaxy A26 5G, 128GB Storage | 6.7” FHD+ 120Hz Super AMOLED Display | 50MP OIS Camera | 5000mAh Battery | Tracfone Locked | Prepaid Smartphone - Black",19906.88,https://m.media-amazon.com/images/I/61wkxxLip7L._AC_UY218_.jpg,https://www.amazon.com/Tracfone-Samsung-Storage-Display-Smartphone/dp/B0G1B3BHNH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.lMGyCochKudrJuLoUbJvv8vWrbFc8jAbpbaetPCfjXZ7rZnZwH_S7HFPJlzoqxptQr_uVzeUnN--nesKwfXex0xpuFiCuCViaIpF5u8m1i9RoYa3u9mseUnOjycjUWyzhX-bdVu9b9qa5aD5neO1qiqrFkA68bBRCJGSoC51Oi4svzBsD3aIolluFFr7jz5fPqvB1GkNEJMF-F1-lpmG_HUlX2KrXWgEe7ZchSOg070.VrDCfTNkz-GzQh6xfe8Xhlvce_ST0hU0K52Ae-l6jN8&dib_tag=se&keywords=best+selling+smartphones&qid=1768900528&sr=8-10,Electronics & Gadgets,false
